iter	Passed	Remaining
561	9417	11747
562	9434	11730
563	9451	11713
564	9466	11694
565	9481	11675
566	9495	11655
567	9511	11638
568	9528	11622
569	9544	11604
570	9560	11586
571	9575	11567
572	9592	11550
573	9608	11533
574	9625	11517
575	9641	11499
576	9656	11480
577	9669	11459
578	9687	11443
579	9704	11428
580	9721	11411
581	9737	11393
582	9752	11375
583	9767	11355
584	9785	11340
585	9802	11324
586	9814	11302
587	9831	11286
588	9847	11268
589	9862	11249
590	9877	11231
591	9891	11211
592	9900	11186
593	9920	11173
594	9937	11156
595	9956	11142
596	9972	11125
597	9990	11109
598	10002	11088
599	10019	11071
600	10036	11054
601	10050	11035
602	10070	11022
603	10086	11005
604	10102	10987
605	10118	10970
606	10132	10950
607	10147	10932
608	10162	10913
609	10178	10895
610	10193	10877
611	10209	10859
612	10226	10843
613	10242	10826
614	10259	10810
615	10274	10791
616	10288	10772
617	10301	10751
618	10320	10737
619	10337	10720
620	10352	10703
621	10368	10685
622	10382	10666
623	10399	10649
624	10415	10632
625	10430	10613
626	10446	10596
627	10461	10578
628	10475	10558
629	10491	10541
630	10507	10523
631	10523	10507
632	10539	10489
633	10554	10471
634	10571	10455
635	10588	10438
636	10603	10420
637	10619	10403
638	10636	10386
639	10652	10369
640	10668	10352
641	10683	10334
642	10701	10318
643	10717	10301
644	10732	10282
645	10747	10264
646	10763	10247
647	10777	10229
648	10793	10211
649	10811	10195
650	10826	10178
651	10842	10160
652	10856	10141
653	10876	10128
654	10893	10111
655	10909	10095
656	10926	10078
657	10944	10062
658	10960	10045
659	10974	10026
660	10990	10009
661	11008	9993
662	11026	9978
663	11041	9960
664	11058	9944
665	11072	9925
666	11089	9908
667	11106	9892
668	11123	9876
669	11140	9860
670	11158	9844
671	11177	9829
672	11194	9813
673	11210	9796
674	11228	9781
675	11245	9765
676	11264	9749
677	11279	9732
678	11295	9714
679	11313	9699
680	11330	9683
681	11347	9667
682	11363	9649
683	11379	9632
684	11393	9614
685	11406	9594
686	11423	9577
687	11439	9560
688	11449	9538
689	11469	9524
690	11487	9509
691	11503	9491
692	11522	9476
693	11539	9461
694	11556	9444
695	11570	9426
696	11586	9409
697	11603	9392
698	11617	9373
699	11631	9355
700	11646	9337
701	11661	9318
702	11682	9305
703	11697	9288
704	11716	9273
705	11732	9256
706	11748	9238
707	11765	9223
708	11782	9206
709	11799	9190
710	11816	9174
711	11837	9160
712	11853	9143
713	11870	9127
714	11889	9112
715	11905	9095
716	11922	9078
717	11939	9062
718	11957	9046
719	11973	9029
720	11992	9015
721	12011	9000
722	12029	8984
723	12047	8968
724	12064	8952
725	12081	8936
726	12098	8919
727	12115	8903
728	12129	8884
729	12149	8871
730	12167	8855
731	12187	8840
732	12204	8824
733	12220	8807
734	12238	8791
735	12253	8774
736	12268	8756
737	12285	8739
738	12300	8721
739	12316	8704
740	12330	8686
741	12344	8668
742	12358	8649
743	12375	8632
744	12391	8615
745	12405	8597
746	12419	8579
747	12434	8561
748	12450	8543
749	12464	8526
750	12481	8509
751	12496	8491
752	12511	8474
753	12526	8456
754	12538	8436
755	12554	8419
756	12570	8402
757	12588	8387
758	12607	8371
759	12624	8355
760	12638	8337
761	12654	8320
762	12673	8304
763	12692	8289
764	12710	8274
765	12727	8258
766	12744	8241
767	12760	8224
768	12776	8207
769	12791	8189
770	12806	8172
771	12821	8154
